UT,PY,DOI
WOS:000330622600016,2014.0,10.1007/s11192-013-1066-9
WOS:000330622600011,2014.0,10.1007/s11192-013-1115-4
WOS:000330622600024,2014.0,10.1007/s11192-013-1182-6
WOS:000327219900006,2013.0,10.1007/s11192-013-1038-0
WOS:000320401500023,2013.0,10.1007/s11192-013-0953-4
WOS:000318807000015,2013.0,10.1007/s11192-012-0895-2
WOS:000318807000009,2013.0,10.1007/s11192-013-0965-0
WOS:000316046000002,2013.0,10.1007/s11192-012-0816-4
WOS:000294839200009,2011.0,10.1007/s11192-011-0436-4
WOS:000283090300003,2010.0,10.1007/s11192-010-0286-5
WOS:000282048200009,2010.0,10.1007/s11192-010-0266-9
WOS:000274111600011,2010.0,10.1007/s11192-009-0053-7
WOS:000256779500011,2008.0,10.1007/s11192-007-1886-6
WOS:000245453300007,2007.0,10.1007/s11192-007-1666-3
WOS:000235904000004,2006.0,10.1556/Scient.67.2006.1.4
WOS:000240477000006,2006.0,10.1007/s11192-006-0140-y
WOS:000701634100002,2021.0,10.1007/s11192-021-04130-7
WOS:000658602800001,2021.0,10.1007/s11192-021-04065-z
WOS:000644380300021,2021.0,10.1007/s11192-021-03968-1
WOS:000644380300029,2021.0,10.1007/s11192-021-03940-z
WOS:000633283300001,2021.0,10.1007/s11192-021-03948-5
WOS:000625725800008,2021.0,10.1007/s11192-021-03926-x
WOS:000552196500008,2020.0,10.1007/s11192-020-03625-z
WOS:000544354400011,2020.0,10.1007/s11192-020-03548-9
WOS:000530786700007,2020.0,10.1007/s11192-020-03445-1
WOS:000527509900003,2020.0,10.1007/s11192-020-03475-9
WOS:000491201000011,2019.0,10.1007/s11192-019-03220-x
WOS:000491413900002,2019.0,10.1007/s11192-019-03270-1
WOS:000485943600008,2019.0,10.1007/s11192-019-03203-y
WOS:000477044700011,2019.0,10.1007/s11192-019-03132-w
WOS:000469058000013,2019.0,10.1007/s11192-019-03106-y
WOS:000464901100014,2019.0,10.1007/s11192-019-03060-9
WOS:000451754300012,2018.0,10.1007/s11192-018-2911-7
WOS:000440597800001,2018.0,10.1007/s11192-018-2772-0
WOS:000440597800023,2018.0,10.1007/s11192-018-2796-5
WOS:000437262800007,2018.0,10.1007/s11192-018-2727-5
WOS:000412920200011,2017.0,10.1007/s11192-017-2509-5
WOS:000406497200021,2017.0,10.1007/s11192-017-2449-0
WOS:000399871500025,2017.0,10.1007/s11192-017-2302-5
WOS:000389336100015,2016.0,10.1007/s11192-016-2125-9
WOS:000382914200033,2016.0,10.1007/s11192-016-2026-y
WOS:000373187000017,2016.0,10.1007/s11192-016-1877-6
WOS:000365130100044,2015.0,10.1007/s11192-015-1630-6
WOS:000355948600009,2015.0,10.1007/s11192-015-1600-z
WOS:000351546100001,2015.0,10.1007/s11192-014-1515-0
WOS:000347297400022,2015.0,10.1007/s11192-014-1251-5
WOS:000347297400043,2015.0,10.1007/s11192-014-1393-5
WOS:000345136000016,2014.0,10.1007/s11192-014-1280-0
WOS:000339379600011,2014.0,10.1007/s11192-014-1242-6
WOS:000335905000017,2014.0,10.1007/s11192-014-1258-y
WOS:000335905000012,2014.0,10.1007/s11192-013-1200-8
WOS:000324275600005,2013.0,10.1007/s11192-013-1025-5
WOS:000317746900010,2013.0,10.1007/s11192-012-0929-9
WOS:000317746900013,2013.0,10.1007/s11192-012-0884-5
WOS:000306547000022,2012.0,10.1007/s11192-012-0669-x
WOS:000299088900003,2012.0,10.1007/s11192-011-0533-4
WOS:000294839700003,2011.0,10.1007/s11192-011-0453-3
WOS:000255094900012,2008.0,10.1007/s11192-007-1869-7
WOS:000250198400003,2007.0,10.1007/s11192-006-1797-y
WOS:000180326300006,2003.0,10.1023/A:1021971212438
WOS:000722104300002,2022.0,10.1007/s11192-021-04176-7
WOS:000664849500013,2021.0,10.1007/s11192-021-04059-x
WOS:000644380300015,2021.0,10.1007/s11192-021-03893-3
WOS:000633283300005,2021.0,10.1007/s11192-021-03942-x
WOS:000630848600002,2021.0,10.1007/s11192-021-03939-6
WOS:000621730600014,2021.0,10.1007/s11192-020-03841-7
WOS:000578562100013,2020.0,10.1007/s11192-020-03735-8
WOS:000569300100010,2020.0,10.1007/s11192-020-03688-y
WOS:000565497900001,2020.0,10.1007/s11192-020-03686-0
WOS:000516578700020,2020.0,10.1007/s11192-020-03349-0
WOS:000527503300001,2020.0,10.1007/s11192-020-03358-z
WOS:000495302900019,2019.0,10.1007/s11192-019-03244-3
WOS:000485943600018,2019.0,10.1007/s11192-019-03206-9
WOS:000481434200016,2019.0,10.1007/s11192-019-03170-4
WOS:000477044700003,2019.0,10.1007/s11192-019-03136-6
WOS:000477044700018,2019.0,10.1007/s11192-019-03155-3
WOS:000477044700017,2019.0,10.1007/s11192-019-03144-6
WOS:000471656400004,2019.0,10.1007/s11192-019-03115-x
WOS:000458190700001,2019.0,10.1007/s11192-018-02999-5
WOS:000438126800019,2018.0,10.1007/s11192-018-2746-2
WOS:000438126800022,2018.0,10.1007/s11192-018-2711-0
