UT,PY,DOI
WOS:000088918500003,2000.0,10.1023/A:1005661608200
WOS:A1988N393600008,1988.0,10.1007/BF02019964
WOS:000705740400007,2021.0,10.1007/s11192-021-04141-4
WOS:000699882500006,2021.0,10.1007/s11192-021-04168-7
WOS:000695173200003,2021.0,10.1007/s11192-021-04148-x
WOS:000686089100003,2021.0,10.1007/s11192-021-04115-6
WOS:000686089100001,2021.0,10.1007/s11192-021-04105-8
WOS:000674214800003,2021.0,10.1007/s11192-021-04089-5
WOS:000669832000001,2021.0,10.1007/s11192-021-04085-9
WOS:000664002200001,2021.0,10.1007/s11192-021-04044-4
WOS:000662808300001,2021.0,10.1007/s11192-021-04000-2
WOS:000658116700002,2021.0,10.1007/s11192-021-04034-6
WOS:000653118600001,2021.0,10.1007/s11192-021-03992-1
WOS:000651036100006,2021.0,10.1007/s11192-021-03998-9
WOS:000650816300002,2021.0,10.1007/s11192-021-03984-1
WOS:000630848600005,2021.0,10.1007/s11192-021-03946-7
WOS:000628128900006,2021.0,10.1007/s11192-021-03923-0
WOS:000615174400007,2021.0,10.1007/s11192-020-03828-4
WOS:000559304800008,2021.0,10.1007/s11192-020-03656-6
WOS:000548155000006,2020.0,10.1007/s11192-020-03627-x
WOS:000544845300001,2020.0,10.1007/s11192-020-03592-5
WOS:000539138500002,2021.0,10.1007/s11192-020-03522-5
WOS:000537676800002,2020.0,10.1007/s11192-020-03534-1
WOS:000559588800002,2020.0,10.1007/s11192-020-03530-5
WOS:000530786700003,2020.0,10.1007/s11192-020-03450-4
WOS:000521842600001,2020.0,10.1007/s11192-020-03351-6
WOS:000516437800002,2020.0,10.1007/s11192-020-03393-w
WOS:000511927600008,2020.0,10.1007/s11192-019-03317-3
WOS:000519275900002,2020.0,10.1007/s11192-019-03313-7
WOS:000507794700002,2020.0,10.1007/s11192-020-03344-5
WOS:000491201000017,2019.0,10.1007/s11192-019-03216-7
WOS:000491201000002,2019.0,10.1007/s11192-019-03224-7
WOS:000481434200018,2019.0,10.1007/s11192-019-03164-2
WOS:000481434200014,2019.0,10.1007/s11192-019-03169-x
WOS:000477044700023,2019.0,10.1007/s11192-019-03140-w
WOS:000477044700022,2019.0,10.1007/s11192-019-03145-5
WOS:000471656400015,2019.0,10.1007/s11192-019-03122-y
WOS:000460804500017,2019.0,10.1007/s11192-018-2996-z
WOS:000458190700006,2019.0,10.1007/s11192-018-2985-2
WOS:000451754600023,2018.0,10.1007/s11192-018-2915-3
WOS:000451754300014,2018.0,10.1007/s11192-018-2903-7
WOS:000442737700008,2018.0,10.1007/s11192-018-2860-1
WOS:000440597800033,2018.0,10.1007/s11192-018-2785-8
WOS:000440597800005,2018.0,10.1007/s11192-018-2797-4
WOS:000437262800003,2018.0,10.1007/s11192-018-2740-8
WOS:000429006100021,2018.0,10.1007/s11192-018-2687-9
WOS:000425306300029,2018.0,10.1007/s11192-017-2635-0
WOS:000424685100004,2018.0,10.1007/s11192-017-2620-7
WOS:000419397900011,2018.0,10.1007/s11192-017-2559-8
WOS:000419397900014,2018.0,10.1007/s11192-017-2579-4
WOS:000415715100027,2017.0,10.1007/s11192-017-2550-4
WOS:000415715100026,2017.0,10.1007/s11192-017-2555-z
WOS:000412527000029,2017.0,10.1007/s11192-017-2242-0
WOS:000412527000022,2017.0,10.1007/s11192-017-2474-z
WOS:000412527000021,2017.0,10.1007/s11192-017-2473-0
WOS:000406497200003,2017.0,10.1007/s11192-017-2443-6
WOS:000401747900025,2017.0,10.1007/s11192-017-2364-4
WOS:000399871500018,2017.0,10.1007/s11192-017-2331-0
WOS:000398770700015,2017.0,10.1007/s11192-017-2251-z
WOS:000382915800027,2016.0,10.1007/s11192-016-1942-1
WOS:000378777500017,2016.0,10.1007/s11192-016-1963-9
WOS:000378777500005,2016.0,10.1007/s11192-016-1947-9
WOS:000378777500010,2016.0,10.1007/s11192-016-1951-0
WOS:000373187000004,2016.0,10.1007/s11192-016-1866-9
WOS:000368075800003,2016.0,10.1007/s11192-015-1782-4
WOS:000368075800012,2016.0,10.1007/s11192-015-1765-5
WOS:000365130100024,2015.0,10.1007/s11192-015-1609-3
WOS:000365130100039,2015.0,10.1007/s11192-015-1741-0
WOS:000363261600026,2015.0,10.1007/s11192-015-1720-5
WOS:000363261600023,2015.0,10.1007/s11192-015-1719-y
WOS:000361992800017,2015.0,10.1007/s11192-015-1657-8
WOS:000361992800003,2015.0,10.1007/s11192-015-1663-x
WOS:000361992800022,2015.0,10.1007/s11192-015-1673-8
WOS:000361992800033,2015.0,10.1007/s11192-015-1700-9
WOS:000351546100013,2015.0,10.1007/s11192-015-1527-4
WOS:000348324000007,2015.0,10.1007/s11192-014-1475-4
WOS:000348324000040,2015.0,10.1007/s11192-014-1499-9
WOS:000347297400015,2015.0,10.1007/s11192-014-1436-y
WOS:000347297400033,2015.0,10.1007/s11192-014-1434-0
WOS:000347297400048,2015.0,10.1007/s11192-014-1377-5
WOS:000345136000021,2014.0,10.1007/s11192-014-1275-x
WOS:000342228300026,2014.0,10.1007/s11192-014-1390-8
WOS:000342228300039,2014.0,10.1007/s11192-014-1359-7
WOS:000337171300006,2014.0,10.1007/s11192-014-1287-6
WOS:000331559800026,2014.0,10.1007/s11192-013-1118-1
WOS:000331559800011,2014.0,10.1007/s11192-013-1102-9
WOS:000329319200010,2014.0,10.1007/s11192-013-1014-8
WOS:000329319200022,2014.0,10.1007/s11192-013-1033-5
WOS:000329319200024,2014.0,10.1007/s11192-013-1015-7
WOS:000329319200038,2014.0,10.1007/s11192-013-1052-2
WOS:000327219900004,2013.0,10.1007/s11192-013-1026-4
WOS:000327219900014,2013.0,10.1007/s11192-013-1058-9
WOS:000327219900007,2013.0,10.1007/s11192-013-1027-3
WOS:000325475300017,2013.0,10.1007/s11192-013-0976-x
WOS:000325475300015,2013.0,10.1007/s11192-013-1046-0
WOS:000325475300008,2013.0,10.1007/s11192-012-0947-7
WOS:000318807000001,2013.0,10.1007/s11192-012-0939-7
WOS:000316046000012,2013.0,10.1007/s11192-012-0831-5
WOS:000316046000025,2013.0,10.1007/s11192-012-0881-8
WOS:000310964500006,2012.0,10.1007/s11192-012-0774-x
WOS:000310964500019,2012.0,10.1007/s11192-012-0751-4
WOS:000310964500004,2012.0,10.1007/s11192-012-0766-x
WOS:000310230400005,2012.0,10.1007/s11192-012-0675-z
WOS:000297708000003,2012.0,10.1007/s11192-011-0509-4
WOS:000280947400017,2010.0,10.1007/s11192-010-0224-6
WOS:000278695500010,2010.0,10.1007/s11192-009-0106-y
WOS:000276499500008,2010.0,10.1007/s11192-009-0108-9
WOS:000276499500012,2010.0,10.1007/s11192-009-0065-3
WOS:000270979000006,2009.0,10.1007/s11192-009-2120-5
WOS:000270841800006,2009.0,10.1007/s11192-009-1885-x
WOS:000268019900013,2009.0,10.1007/s11192-008-2065-0
WOS:000261950100010,2009.0,10.1007/s11192-007-1904-8
WOS:000259374300009,2008.0,10.1007/s11192-007-1877-7
WOS:000259374300002,2008.0,10.1007/s11192-007-1763-3
WOS:000252808500008,2008.0,10.1007/s11192-008-0218-9
WOS:000246373000002,2007.0,10.1007/s11192-007-1676-1
WOS:000245453300004,2007.0,10.1007/s11192-007-1661-8
WOS:000245453300009,2007.0,10.1007/s11192-007-1667-2
